pitch,r_tsv,h_tsv,l_tmrdl,w_tmrdl,h_tmrdl,l_bsmrdl,w_bsmrdl,h_bsmrdl,dut_index
57.96,14.08,88.35,117.09,13.16,2.76,884.47,13.14,2.92,700
39.7,6.81,83.66,501.59,29.89,3.31,529.96,11.1,2.18,701
47.81,6.78,59.72,865.35,25.22,4.36,914.6,14.13,3.61,702
37.1,3.88,77.59,544.86,11.0,3.63,629.98,21.69,5.79,703
59.37,12.72,82.53,353.42,13.58,3.41,698.06,23.5,2.39,704
49.76,7.99,67.59,300.48,25.62,3.91,229.88,16.07,2.1,705
51.47,10.14,65.72,953.57,28.1,4.41,890.5,19.28,2.26,706
33.59,12.86,85.36,339.73,15.05,5.14,271.57,14.24,3.28,707
45.02,3.86,55.71,276.08,18.52,5.0,339.19,24.1,5.48,708
53.33,4.15,87.81,168.1,14.82,5.22,319.24,18.92,4.23,709
56.41,14.25,56.37,776.58,29.15,2.67,383.03,25.4,4.72,710
37.25,14.0,55.12,610.4,15.89,3.25,331.08,13.43,5.03,711
54.89,5.78,53.54,154.62,26.33,2.51,617.12,23.42,5.57,712
36.97,8.07,86.86,243.5,13.7,3.49,465.29,16.64,5.84,713
31.25,10.42,63.02,707.14,29.18,5.97,407.03,14.37,2.97,714
40.59,14.76,55.5,415.63,25.97,2.88,186.01,22.55,3.34,715
47.93,10.59,52.79,550.87,21.96,3.19,795.99,11.31,4.86,716
38.02,11.48,71.72,844.06,21.39,4.76,254.57,10.27,3.06,717
34.03,10.41,81.51,355.69,13.57,2.13,759.98,18.94,3.37,718
28.21,2.23,86.29,808.43,23.08,5.93,845.25,22.74,3.63,719
48.64,14.34,90.42,155.61,22.55,5.53,708.93,10.66,4.8,720
50.4,13.31,87.74,238.1,21.52,2.45,539.04,17.86,4.26,721
40.39,13.28,62.95,467.82,17.08,4.29,274.73,26.32,3.62,722
34.19,8.76,64.97,975.27,24.01,4.18,292.56,28.04,3.62,723
31.16,8.47,59.65,518.51,13.1,4.77,611.87,20.61,5.49,724
37.73,14.77,53.28,832.78,25.35,2.44,659.58,19.48,4.38,725
45.33,3.71,74.94,618.59,25.95,4.87,848.21,25.98,3.37,726
32.8,9.05,96.42,355.36,13.45,5.03,830.5,21.84,3.14,727
46.12,13.68,86.62,959.76,18.73,3.66,624.96,10.31,5.65,728
33.53,2.57,76.16,274.04,18.83,5.17,165.23,21.49,5.14,729
35.72,11.35,95.25,124.13,23.86,5.3,100.75,13.29,4.63,730
58.86,5.84,57.01,797.26,18.2,5.33,141.67,16.49,3.6,731
32.09,2.32,92.15,747.84,27.92,3.79,723.79,17.16,2.41,732
39.07,10.62,83.22,122.12,18.46,3.62,195.47,12.82,4.38,733
42.33,9.57,93.51,780.13,10.77,3.17,760.82,12.88,4.81,734
52.66,2.15,95.54,282.53,10.31,2.88,598.21,18.8,5.73,735
43.91,2.69,91.03,917.11,18.24,4.32,475.29,29.19,4.15,736
36.83,13.89,68.2,842.06,10.58,4.94,902.19,28.69,4.26,737
37.94,7.59,65.47,205.58,13.77,4.66,436.89,12.12,4.05,738
42.31,12.7,93.69,520.58,12.64,5.7,170.56,13.42,2.57,739
40.39,9.43,74.68,677.42,16.32,4.84,394.12,24.41,2.89,740
50.89,7.96,92.76,889.14,26.99,4.51,258.98,27.58,2.91,741
57.94,6.15,66.1,894.36,15.76,2.96,323.42,15.54,5.56,742
54.72,11.77,87.12,130.42,27.71,5.91,245.41,13.56,5.55,743
39.85,14.1,56.0,972.42,29.96,3.89,471.09,12.66,5.93,744
32.67,5.01,53.85,669.57,16.73,2.6,205.12,24.22,3.64,745
36.61,4.04,63.67,219.21,28.25,5.33,883.94,29.26,2.22,746
54.31,6.23,88.67,172.22,10.81,4.12,492.58,23.64,5.13,747
31.16,12.85,65.27,960.86,15.35,2.01,386.46,18.58,5.29,748
34.04,11.86,70.47,950.26,23.59,3.54,358.65,27.5,2.77,749
35.53,7.13,73.85,460.38,28.62,4.15,997.95,20.91,2.7,750
55.57,12.05,97.96,529.56,28.87,4.71,456.59,21.16,4.33,751
50.78,6.62,94.39,948.81,29.46,4.93,744.37,19.01,2.91,752
41.81,12.46,82.32,388.93,10.55,5.32,362.27,15.42,2.55,753
33.58,4.46,79.84,210.14,12.22,2.82,204.2,22.52,2.52,754
57.83,13.51,59.59,854.66,25.06,4.67,937.04,18.52,3.75,755
53.29,3.22,63.42,730.31,19.68,5.73,730.29,11.64,4.74,756
53.36,12.38,62.17,233.04,25.51,3.17,116.92,15.49,3.79,757
55.61,9.66,58.03,625.67,16.14,2.4,531.51,29.85,2.15,758
37.35,3.67,98.8,734.36,18.3,3.98,988.36,20.66,4.87,759
58.4,14.12,75.08,884.7,14.39,4.07,843.67,21.94,4.75,760
