pitch,l_bsmrdl,w_bsmrdl,h_bsmrdl,dut_index
20.99,198.01,18.5,5.03,700
59.71,278.7,26.03,4.51,701
52.99,484.85,10.23,4.34,702
55.64,789.32,13.65,2.27,703
36.59,597.01,24.06,3.17,704
51.94,277.73,25.9,3.68,705
47.16,310.78,24.88,2.71,706
54.38,111.88,17.63,5.0,707
32.77,839.11,13.17,5.51,708
43.98,206.35,26.14,5.65,709
36.6,115.81,11.28,2.18,710
50.84,928.54,28.87,4.05,711
59.12,691.2,13.87,5.17,712
17.07,283.69,15.91,3.22,713
13.3,378.49,10.84,4.44,714
38.37,276.36,28.36,3.83,715
30.16,809.5,15.33,4.42,716
49.89,777.15,13.61,2.46,717
14.74,246.67,10.91,3.18,718
49.09,701.25,14.45,3.12,719
58.34,956.66,28.3,3.89,720
33.33,137.52,29.51,5.78,721
59.85,565.13,26.51,4.17,722
31.02,255.03,16.52,5.68,723
33.21,322.84,15.64,5.81,724
55.95,550.06,18.66,4.8,725
33.66,424.66,26.11,4.13,726
18.63,386.17,16.69,4.18,727
49.65,839.75,15.97,5.45,728
37.32,604.19,19.78,3.56,729
53.1,504.41,16.4,4.74,730
48.76,355.99,26.0,5.78,731
32.4,721.27,21.52,4.03,732
39.1,483.0,18.78,2.99,733
38.96,867.4,20.53,4.08,734
39.49,887.28,29.86,3.39,735
43.61,549.6,24.25,4.2,736
33.09,153.5,18.61,3.32,737
42.89,622.73,23.12,4.58,738
35.48,818.55,16.74,5.91,739
15.78,376.86,11.23,3.74,740
30.39,689.65,29.06,2.12,741
44.14,533.33,29.24,5.96,742
26.41,308.68,17.27,4.07,743
53.39,381.28,24.35,5.63,744
48.8,246.13,26.37,5.97,745
43.84,962.84,10.47,3.65,746
57.3,733.91,28.03,2.38,747
36.24,787.99,28.14,5.05,748
32.24,446.13,16.24,2.65,749
55.76,349.94,15.84,2.65,750
33.58,591.29,18.14,2.61,751
38.96,454.75,24.85,3.5,752
18.25,563.94,13.37,4.27,753
35.14,634.87,26.26,5.24,754
52.66,509.65,21.6,2.83,755
54.67,108.48,22.7,2.07,756
43.94,712.91,14.78,4.09,757
24.37,455.62,16.37,2.59,758
27.59,663.8,22.76,2.56,759
36.52,554.59,23.73,5.16,760
48.07,798.65,27.79,2.86,761
41.95,702.95,19.5,3.46,762
33.26,319.13,22.51,4.71,763
49.64,352.88,18.32,2.76,764
33.71,458.63,27.3,4.23,765
41.58,430.03,21.82,4.86,766
28.36,731.42,13.1,3.19,767
33.03,672.01,28.55,2.67,768
40.95,895.5,23.89,3.44,769
56.26,362.85,25.34,2.18,770
26.44,538.78,11.09,3.33,771
37.02,303.04,15.95,5.51,772
27.37,214.9,16.21,2.73,773
44.83,953.92,20.96,3.35,774
53.94,665.95,19.35,2.29,775
45.96,398.84,28.89,4.14,776
51.79,823.63,24.41,5.94,777
50.59,338.87,22.35,3.68,778
45.11,859.0,19.03,5.26,779
52.23,987.74,25.59,4.92,780
38.95,335.86,21.35,4.81,781
47.02,980.78,10.69,4.79,782
46.76,120.74,14.82,3.1,783
36.64,841.91,24.65,4.88,784
51.87,643.93,20.11,2.0,785
42.59,942.09,29.33,2.97,786
28.58,161.48,15.04,4.38,787
34.07,583.56,16.08,4.15,788
25.03,997.01,17.67,4.76,789
57.97,973.55,18.83,2.86,790
59.49,330.06,11.54,2.24,791
33.06,223.08,28.3,3.96,792
46.55,491.31,18.88,2.13,793
47.93,273.04,23.7,3.81,794
26.1,750.14,12.86,2.62,795
31.36,273.98,12.53,2.59,796
51.76,448.26,29.89,3.86,797
46.61,426.03,27.73,3.08,798
42.47,952.75,27.77,4.65,799
37.78,560.78,20.98,5.31,800
55.07,618.72,12.72,3.26,801
41.65,639.0,28.19,2.8,802
35.22,719.09,26.19,5.62,803
40.64,569.26,25.17,2.99,804
36.81,853.88,28.7,4.05,805
52.61,487.53,28.07,2.16,806
32.8,296.17,12.82,3.2,807
53.62,151.83,18.97,3.15,808
40.99,764.82,20.9,5.76,809
26.76,486.63,19.9,5.39,810
31.84,866.09,12.2,5.34,811
45.11,366.78,15.75,2.9,812
34.65,235.61,18.52,2.51,813
58.15,522.44,10.93,5.13,814
55.6,373.77,15.53,3.11,815
26.38,785.53,16.26,5.77,816
54.92,891.97,23.65,5.7,817
53.47,269.98,25.49,4.1,818
52.31,961.42,29.84,5.07,819
44.42,434.25,20.08,5.26,820
59.19,794.35,23.51,4.28,821
26.55,861.23,11.92,2.69,822
55.57,304.52,25.08,3.09,823
26.47,857.93,24.28,4.86,824
57.93,680.13,22.15,5.16,825
53.93,450.88,20.4,5.33,826
47.04,126.01,22.54,2.79,827
43.47,868.92,24.48,5.93,828
27.13,410.42,11.83,3.05,829
58.42,900.75,23.62,5.36,830
40.11,359.73,28.46,4.27,831
59.65,431.65,13.68,5.6,832
23.28,481.39,15.26,2.25,833
54.61,337.25,11.51,4.62,834
34.04,412.87,19.46,4.64,835
27.85,268.65,12.14,3.4,836
29.48,169.68,26.93,2.9,837
56.39,187.32,13.55,5.33,838
37.25,544.13,14.47,4.99,839
34.98,290.13,29.96,4.89,840
37.13,966.91,11.57,2.71,841
36.87,516.7,17.88,2.58,842
21.95,451.1,20.7,2.08,843
55.0,391.72,23.04,4.23,844
32.24,781.42,19.0,2.92,845
26.62,495.17,22.29,4.79,846
53.92,242.68,24.87,5.3,847
54.63,365.59,12.46,3.51,848
34.4,403.98,25.25,4.97,849
50.65,831.4,19.14,3.79,850
46.91,112.76,17.59,2.28,851
55.68,477.72,25.31,3.37,852
37.84,157.7,13.99,2.02,853
33.62,146.64,25.65,2.17,854
54.24,659.62,14.34,4.5,855
13.16,338.48,11.4,4.41,856
46.97,208.01,10.11,3.25,857
43.72,559.49,29.43,3.6,858
58.3,862.52,10.49,5.24,859
46.02,830.28,19.18,2.54,860
34.59,182.4,25.19,2.55,861
20.04,784.7,17.98,3.62,862
35.51,118.75,11.69,5.04,863
32.63,553.23,22.12,2.96,864
39.47,252.57,16.61,2.89,865
40.1,333.55,23.99,2.36,866
53.61,921.18,27.97,2.37,867
33.89,467.93,14.4,4.22,868
59.38,113.53,29.66,4.76,869
36.53,274.75,26.68,5.74,870
41.74,595.69,12.4,4.16,871
27.01,827.93,19.9,5.79,872
35.15,129.41,26.06,2.96,873
48.87,697.11,28.24,3.06,874
16.09,933.44,13.24,4.12,875
49.86,127.08,24.33,2.54,876
31.69,399.99,27.47,2.19,877
40.71,849.79,14.77,3.55,878
29.97,562.01,23.25,5.5,879
57.39,602.68,21.43,2.92,880
49.61,348.64,25.74,4.98,881
26.96,213.82,18.21,3.92,882
20.36,249.7,14.29,2.39,883
50.42,191.49,28.82,3.84,884
52.14,603.27,22.83,3.03,885
52.55,248.82,15.65,4.66,886
29.51,732.5,24.04,3.41,887
37.01,542.06,21.28,5.22,888
20.39,212.1,11.15,3.3,889
11.56,849.21,10.37,3.85,890
23.43,588.1,13.42,2.47,891
41.31,769.68,13.91,2.17,892
49.25,933.71,16.31,3.02,893
37.28,301.64,15.08,2.47,894
43.72,174.91,29.28,2.42,895
37.98,216.33,19.58,2.07,896
31.64,790.46,16.18,5.8,897
38.38,420.02,14.02,5.06,898
59.8,586.29,22.37,5.86,899
37.38,501.23,24.73,5.54,900
37.67,815.27,18.71,2.15,901
46.21,993.51,27.02,2.09,902
25.27,257.21,23.68,2.81,903
31.05,563.28,27.19,3.66,904
39.71,977.69,17.24,5.41,905
45.17,914.96,18.57,3.79,906
58.85,441.77,11.15,3.04,907
53.21,531.68,23.58,4.59,908
49.9,826.71,25.67,5.21,909
57.46,348.37,28.5,2.8,910
40.01,250.78,21.85,5.61,911
34.03,958.16,13.5,5.35,912
38.67,686.41,26.48,4.19,913
58.79,292.78,28.01,5.47,914
38.55,281.65,27.3,4.61,915
29.1,774.28,17.13,4.44,916
35.31,470.0,16.64,2.04,917
48.72,132.44,24.22,4.52,918
30.71,609.98,17.73,3.38,919
55.14,419.3,22.91,3.1,920
49.48,951.95,12.88,3.58,921
51.34,403.51,28.98,3.49,922
32.12,432.43,23.78,4.62,923
30.26,114.65,24.44,4.96,924
20.67,453.26,13.84,4.08,925
40.4,492.03,20.84,4.16,926
48.61,544.67,13.26,3.61,927
25.47,680.51,16.97,5.01,928
50.82,124.82,27.2,5.72,929
54.45,321.15,26.39,2.35,930
