pitch,l_bsmrdl,w_bsmrdl,h_bsmrdl,dut_index
43.05,738.61,13.51,3.04,300
14.53,518.6,10.76,2.61,301
33.72,991.27,16.61,2.83,302
40.84,782.92,12.34,3.61,303
59.47,260.9,25.37,3.33,304
33.76,873.81,24.41,2.32,305
23.0,638.85,13.44,3.98,306
38.3,396.01,17.95,3.08,307
38.75,702.34,28.29,2.89,308
25.27,889.03,19.06,4.09,309
54.89,240.94,23.71,4.42,310
32.36,709.6,21.34,4.28,311
25.08,428.82,12.68,4.25,312
17.56,314.39,11.29,3.17,313
28.71,401.98,23.12,5.81,314
29.46,916.78,25.48,4.37,315
38.42,655.25,22.27,4.0,316
36.11,858.82,22.37,2.65,317
36.92,154.29,29.16,5.1,318
44.81,987.64,17.76,4.12,319
42.93,847.24,21.47,2.77,320
57.12,287.21,24.71,4.56,321
47.07,855.95,26.93,2.72,322
33.75,278.56,24.25,4.11,323
31.09,299.16,20.25,5.53,324
33.51,486.9,19.56,5.89,325
27.28,470.49,22.67,5.25,326
25.64,803.99,18.4,5.48,327
39.0,192.42,25.87,4.84,328
38.44,210.86,23.21,5.08,329
53.21,120.7,28.43,3.26,330
31.07,530.69,18.21,3.84,331
44.47,300.86,26.28,3.75,332
55.04,846.11,10.48,2.89,333
26.44,221.86,22.75,4.86,334
55.88,967.05,29.44,2.56,335
59.11,876.66,10.33,5.4,336
44.54,612.06,21.64,5.53,337
35.9,779.7,11.71,5.72,338
37.56,186.13,26.95,4.94,339
46.93,566.6,26.06,5.28,340
58.93,333.05,11.45,3.26,341
33.67,827.82,20.62,2.74,342
56.12,102.22,19.04,4.21,343
17.29,574.0,13.67,3.22,344
39.03,908.87,14.51,4.99,345
46.42,964.89,23.45,5.75,346
27.17,819.26,25.99,3.94,347
52.17,237.73,10.26,4.54,348
45.97,295.97,27.52,5.36,349
31.85,576.86,29.57,5.13,350
33.1,640.79,13.7,5.01,351
27.4,866.71,22.62,5.72,352
31.66,247.43,29.62,3.2,353
31.84,448.11,11.75,2.27,354
47.43,698.16,19.77,4.56,355
27.79,799.29,13.2,2.99,356
22.38,742.0,12.9,5.19,357
28.2,343.17,12.21,5.51,358
17.64,594.21,15.95,4.26,359
16.16,427.87,14.96,3.78,360
59.11,201.13,28.82,4.86,361
47.45,653.08,24.53,4.44,362
59.59,728.07,22.09,5.28,363
51.37,901.9,25.24,2.46,364
55.67,498.8,28.24,3.65,365
37.87,658.6,19.38,3.95,366
58.61,327.62,16.79,2.03,367
34.65,904.13,25.13,4.37,368
33.2,761.69,29.21,4.27,369
28.73,542.66,26.56,3.4,370
35.14,252.45,15.7,3.82,371
26.69,601.05,12.29,2.37,372
41.33,892.02,29.89,5.55,373
52.21,694.86,22.95,4.77,374
55.72,725.55,20.72,4.45,375
27.35,168.06,19.92,2.54,376
44.38,254.44,12.08,4.51,377
48.76,921.38,14.31,5.86,378
40.54,829.71,25.25,4.91,379
31.81,270.63,24.89,2.4,380
35.03,198.18,26.51,4.08,381
27.9,795.44,25.6,3.5,382
59.84,458.5,15.95,2.15,383
52.43,595.8,22.96,3.86,384
52.54,351.01,28.66,5.35,385
20.34,994.17,18.04,4.07,386
36.21,231.69,28.79,4.34,387
51.77,925.85,26.41,5.32,388
47.34,336.19,23.4,2.34,389
27.94,538.11,24.3,4.3,390
40.38,422.88,28.18,4.31,391
30.98,246.24,11.46,2.43,392
38.8,214.87,14.43,4.47,393
24.25,744.79,19.98,5.49,394
36.73,620.91,15.51,4.49,395
35.06,408.49,14.82,4.64,396
42.53,265.49,27.44,5.92,397
38.47,143.75,27.11,4.71,398
29.6,963.01,27.89,4.8,399
31.91,115.05,27.3,5.8,400
36.29,226.49,26.5,2.52,401
24.02,900.84,18.6,5.34,402
58.88,241.85,14.87,3.85,403
38.96,768.72,20.89,3.29,404
43.84,717.49,28.73,2.33,405
56.89,515.72,23.62,3.14,406
48.06,731.98,20.54,3.03,407
42.89,887.26,15.39,2.9,408
58.4,911.09,16.29,3.28,409
40.2,748.76,15.13,3.83,410
18.56,721.55,10.89,3.2,411
55.34,953.82,29.65,5.46,412
44.49,225.95,22.73,2.6,413
42.67,699.3,24.12,5.64,414
57.55,936.93,15.65,5.43,415
26.11,560.69,11.01,3.35,416
15.47,433.73,13.64,5.69,417
33.14,449.04,13.26,3.78,418
46.53,268.59,10.18,2.55,419
51.58,523.42,16.89,2.23,420
46.84,998.63,24.0,5.4,421
33.0,582.51,23.76,4.93,422
56.25,106.87,17.36,3.62,423
34.11,970.64,19.87,3.01,424
46.41,436.26,29.73,3.37,425
46.24,415.83,27.25,3.18,426
38.9,650.74,20.46,2.8,427
36.61,507.67,17.29,4.36,428
58.12,868.52,24.1,3.65,429
35.53,451.36,16.19,3.06,430
59.99,916.31,22.46,4.84,431
29.27,378.32,20.39,4.47,432
34.97,747.57,26.71,5.45,433
53.13,320.57,29.3,5.36,434
44.42,384.57,25.19,5.62,435
28.75,327.05,10.54,3.63,436
36.01,883.47,20.25,2.94,437
57.39,398.31,28.36,5.73,438
51.83,391.84,24.38,4.32,439
57.37,111.17,13.48,4.63,440
43.28,474.64,27.26,2.3,441
45.99,262.53,19.16,2.37,442
23.22,905.8,14.62,2.85,443
41.74,647.97,28.1,2.36,444
47.14,306.15,12.13,3.5,445
45.33,665.66,27.57,2.11,446
50.65,816.48,20.7,4.68,447
51.14,318.44,12.37,2.18,448
52.87,706.01,19.2,3.36,449
37.11,678.68,14.16,2.27,450
32.07,839.99,28.91,5.87,451
50.84,914.26,18.61,2.09,452
31.18,220.05,20.04,4.61,453
41.8,218.07,24.77,2.21,454
36.19,668.26,19.3,2.84,455
41.93,177.75,27.97,2.49,456
51.26,235.25,11.96,2.48,457
33.29,822.84,13.05,3.75,458
34.63,570.44,21.87,3.46,459
37.98,551.83,23.89,4.78,460
41.36,592.33,14.95,5.94,461
16.04,861.8,12.57,5.65,462
26.38,766.22,19.65,2.24,463
32.97,393.23,16.14,4.94,464
38.83,624.65,11.33,4.41,465
35.88,522.03,14.7,3.56,466
51.71,930.85,19.1,4.07,467
36.95,528.36,23.36,3.23,468
58.63,841.24,14.05,5.91,469
43.61,673.99,26.14,5.63,470
43.76,630.93,17.11,5.25,471
36.38,414.41,29.26,5.16,472
28.41,294.82,18.78,4.24,473
34.29,703.02,28.97,4.39,474
55.2,760.39,29.54,2.05,475
27.78,130.21,18.98,5.12,476
52.48,119.21,28.86,5.6,477
44.58,152.16,11.94,3.57,478
40.94,753.66,10.45,3.66,479
52.39,356.22,27.07,2.13,480
43.99,180.24,15.23,5.74,481
26.48,661.89,18.07,4.0,482
23.16,712.94,19.49,3.7,483
17.83,923.73,11.17,2.52,484
47.96,941.02,14.21,2.93,485
17.28,256.69,12.01,2.09,486
31.84,836.17,13.76,4.34,487
45.15,784.25,19.83,2.43,488
46.35,751.93,21.28,4.73,489
52.53,189.47,22.9,4.42,490
21.69,337.76,11.09,4.71,491
47.19,311.75,20.93,3.91,492
56.72,148.67,27.67,4.74,493
48.82,367.16,23.56,3.31,494
42.67,494.59,25.35,2.66,495
23.88,502.94,16.43,5.09,496
47.15,890.72,14.28,2.76,497
20.51,804.6,17.61,2.46,498
51.92,501.82,21.14,5.15,499
40.29,128.48,14.13,5.17,500
32.58,834.5,17.67,4.89,501
47.67,811.48,26.89,4.02,502
25.64,631.84,21.06,3.47,503
41.28,871.62,20.1,4.44,504
18.43,259.05,10.82,5.81,505
49.71,733.81,16.5,4.95,506
36.25,933.74,15.48,4.6,507
20.8,682.53,14.36,5.83,508
42.64,331.72,14.04,4.14,509
35.7,387.52,25.05,3.22,510
53.61,213.1,21.39,3.15,511
51.86,441.34,15.6,3.8,512
49.92,348.26,23.28,4.77,513
40.62,633.86,20.42,4.58,514
20.84,477.52,18.93,4.69,515
50.5,628.14,23.3,5.24,516
45.22,292.98,25.53,4.04,517
42.16,463.98,22.44,2.07,518
53.45,758.03,15.26,5.94,519
19.23,291.13,15.43,5.68,520
31.45,135.3,15.07,3.93,521
25.65,563.45,11.6,2.01,522
39.18,570.11,16.92,3.89,523
54.36,175.34,12.89,5.06,524
38.71,281.9,16.8,2.28,525
24.39,928.22,12.76,2.5,526
21.47,586.32,15.89,5.51,527
31.37,973.46,24.19,4.66,528
46.31,341.2,28.55,5.07,529
47.59,687.21,16.58,5.04,530
47.82,642.33,18.42,3.63,531
24.05,774.85,21.18,5.85,532
42.18,895.55,15.3,3.94,533
45.53,117.52,16.74,5.31,534
35.45,898.25,21.74,4.15,535
33.67,418.69,19.44,5.67,536
47.66,564.37,21.65,2.69,537
50.08,788.82,29.99,5.79,538
21.77,972.03,17.35,4.5,539
59.12,996.73,16.98,5.48,540
41.45,157.67,21.22,3.31,541
36.3,989.75,18.11,4.74,542
54.11,843.81,13.01,2.91,543
40.01,724.42,27.76,3.15,544
41.38,172.53,25.58,4.75,545
52.98,424.74,22.52,3.17,546
49.52,808.34,18.89,2.74,547
38.23,431.1,27.61,5.21,548
52.43,635.85,25.78,5.89,549
43.76,136.24,28.02,2.22,550
58.78,677.96,27.19,3.03,551
34.32,949.37,16.37,2.41,552
57.61,303.96,10.05,5.22,553
31.44,496.66,21.58,3.6,554
34.53,203.53,23.92,3.48,555
59.68,182.17,11.87,2.67,556
55.51,657.8,29.38,2.7,557
44.15,170.25,12.17,4.06,558
57.74,367.99,29.04,4.24,559
45.64,937.49,25.73,5.26,560
33.98,545.97,20.76,2.13,561
52.94,106.33,18.32,3.71,562
59.56,820.13,28.5,3.43,563
48.38,683.34,13.96,3.8,564
47.58,472.83,28.34,5.37,565
33.47,438.96,22.25,2.44,566
55.23,589.38,26.34,2.31,567
35.67,518.45,22.83,3.44,568
59.73,382.36,23.04,3.12,569
50.32,662.79,14.57,3.56,570
45.56,347.27,11.63,3.49,571
45.95,978.96,18.73,4.22,572
55.61,406.72,22.2,4.11,573
42.61,603.54,23.08,5.93,574
38.23,271.45,20.57,5.0,575
47.95,465.57,19.7,3.37,576
43.42,249.43,29.83,4.22,577
51.59,404.17,12.48,5.02,578
24.23,715.3,10.35,3.39,579
54.69,879.05,18.83,2.2,580
25.06,353.17,17.08,5.71,581
34.81,919.33,25.94,5.55,582
36.77,800.44,13.87,3.74,583
45.17,370.56,23.8,4.79,584
37.67,958.31,27.04,5.69,585
37.47,308.65,24.69,2.54,586
45.71,490.82,19.28,2.65,587
21.8,739.35,15.82,2.95,588
36.6,555.5,29.91,5.19,589
31.39,145.11,17.4,2.39,590
48.59,755.78,21.93,4.53,591
30.79,323.52,12.54,3.82,592
33.13,372.38,23.19,3.68,593
41.96,857.22,10.55,2.95,594
47.5,689.45,15.76,2.63,595
54.36,735.08,13.83,5.57,596
24.46,317.51,15.04,4.91,597
51.57,482.98,11.24,2.72,598
19.55,771.87,11.85,3.87,599
44.97,793.14,10.94,4.5,600
48.88,543.29,20.81,2.83,601
28.1,196.0,23.65,3.1,602
41.61,141.13,12.82,4.82,603
35.5,779.24,25.45,2.2,604
23.72,340.05,14.78,3.7,605
57.44,460.56,21.03,4.69,606
34.76,454.21,26.79,3.54,607
57.02,183.31,28.48,2.97,608
58.08,442.49,22.34,3.52,609
30.32,493.46,10.71,3.12,610
24.29,552.99,18.15,5.41,611
20.04,379.03,13.37,2.29,612
38.55,613.26,17.85,5.99,613
40.46,513.26,29.79,3.89,614
34.53,208.25,28.64,2.11,615
55.14,691.19,16.46,3.41,616
45.91,164.79,28.08,4.17,617
51.73,488.01,23.54,4.14,618
46.7,864.99,17.92,2.25,619
32.58,151.18,26.0,2.81,620
37.55,358.0,17.55,4.59,621
56.08,618.85,29.45,4.31,622
50.26,162.39,11.37,5.42,623
54.69,557.05,10.64,4.64,624
54.22,584.18,16.31,4.18,625
27.27,104.49,26.24,5.95,626
37.15,456.63,26.2,3.97,627
28.13,444.97,10.2,4.83,628
39.02,598.56,24.35,2.04,629
57.1,362.64,22.14,4.04,630
57.32,481.6,16.66,2.14,631
50.08,942.31,27.9,2.18,632
29.79,981.29,21.83,5.16,633
53.16,982.74,22.02,4.65,634
27.63,832.75,20.99,2.63,635
22.31,274.62,20.18,5.38,636
47.25,234.82,16.09,4.19,637
40.72,946.77,10.96,3.01,638
46.29,645.77,17.03,2.03,639
18.52,671.02,11.11,3.58,640
42.78,985.95,25.05,2.41,641
57.7,881.79,27.81,2.69,642
57.92,532.5,12.98,4.55,643
50.86,815.02,12.61,4.98,644
42.13,710.06,24.57,5.12,645
57.88,376.57,24.49,5.08,646
54.23,952.13,13.34,5.84,647
29.78,478.92,18.25,4.2,648
47.35,286.32,14.47,3.24,649
57.02,132.03,15.55,2.58,650
25.53,605.42,21.98,3.54,651
21.54,539.78,18.47,4.57,652
57.14,389.87,24.0,2.58,653
42.76,672.87,19.55,3.11,654
39.69,165.77,25.66,3.52,655
44.81,125.03,22.56,3.06,656
