pitch,r_tsv,h_tsv,dut_index
37.57,6.89,68.74,300
13.96,4.54,65.76,301
39.75,10.74,82.93,302
58.5,11.28,52.73,303
49.54,9.43,73.47,304
21.95,2.62,97.91,305
58.17,6.29,86.7,306
40.73,6.15,75.45,307
27.06,8.44,62.4,308
11.35,4.47,61.61,309
57.67,8.31,89.73,310
40.9,3.5,82.59,311
39.39,12.22,99.87,312
31.73,9.04,54.22,313
22.14,9.51,61.15,314
59.09,6.03,72.54,315
41.17,7.92,88.12,316
40.76,11.94,67.35,317
26.27,10.56,97.07,318
25.25,9.31,58.06,319
11.04,4.67,50.55,320
52.63,14.45,68.04,321
27.33,10.89,59.92,322
38.26,12.39,80.35,323
39.37,13.11,70.82,324
48.77,3.75,67.18,325
53.37,3.11,73.51,326
32.17,2.39,72.98,327
59.69,7.8,76.14,328
12.66,4.57,64.03,329
49.27,4.74,51.98,330
33.66,4.45,72.31,331
49.41,7.3,93.57,332
38.21,14.22,68.44,333
54.46,11.23,76.57,334
45.52,4.17,90.34,335
44.2,13.8,76.33,336
37.25,5.73,71.62,337
45.78,5.31,57.59,338
25.45,6.87,97.48,339
58.94,11.14,52.44,340
36.92,4.2,73.81,341
54.85,3.17,75.61,342
52.32,14.09,58.69,343
53.67,8.22,52.02,344
43.32,14.72,98.05,345
52.95,13.94,53.62,346
57.22,11.66,50.16,347
34.11,2.72,60.66,348
39.23,14.42,61.72,349
40.53,14.07,78.94,350
41.84,10.44,63.04,351
48.46,14.32,76.72,352
51.46,7.45,96.92,353
35.15,9.4,86.18,354
40.79,2.79,70.02,355
33.44,9.94,52.15,356
34.25,8.54,64.35,357
31.47,8.92,63.3,358
10.94,2.53,57.02,359
39.74,3.88,98.99,360
34.32,13.18,94.59,361
37.77,13.84,99.25,362
36.07,15.0,63.56,363
42.71,4.08,77.95,364
32.28,10.33,70.47,365
33.69,13.32,61.86,366
46.62,14.23,50.47,367
43.29,4.88,84.21,368
25.02,3.6,83.81,369
49.36,14.9,94.72,370
37.72,7.11,56.24,371
9.27,2.47,87.17,372
53.09,11.04,93.37,373
52.2,7.25,55.88,374
34.21,7.01,88.97,375
11.56,5.18,82.4,376
34.14,8.13,66.34,377
49.21,5.87,96.42,378
46.47,9.83,57.98,379
20.64,4.62,56.07,380
54.44,13.6,90.8,381
37.87,6.09,83.18,382
53.96,10.38,72.46,383
41.9,11.13,63.17,384
47.05,5.99,74.45,385
24.43,3.48,88.41,386
50.71,3.36,87.68,387
40.32,4.33,96.63,388
15.97,3.42,87.54,389
35.42,2.09,85.34,390
48.38,11.7,95.24,391
44.43,14.53,60.83,392
50.29,12.01,91.51,393
25.31,9.83,68.54,394
41.6,5.13,55.65,395
37.6,10.5,80.62,396
57.88,5.65,69.77,397
45.17,10.71,80.72,398
15.1,2.12,54.93,399
38.87,12.2,63.39,400
53.66,14.18,78.55,401
33.83,4.7,94.75,402
35.02,12.51,77.2,403
16.38,2.27,57.71,404
37.24,14.83,64.57,405
58.87,12.35,64.47,406
48.81,6.75,59.12,407
58.38,13.2,56.3,408
23.67,4.94,57.22,409
56.04,10.41,77.51,410
54.68,8.06,71.88,411
23.93,9.1,77.04,412
55.55,13.02,64.25,413
43.2,2.6,74.53,414
29.26,4.28,63.71,415
53.75,13.74,79.67,416
24.43,2.94,99.47,417
28.7,2.99,93.42,418
40.49,14.4,94.45,419
20.85,6.73,90.58,420
29.83,12.28,93.94,421
19.43,4.22,63.96,422
52.0,8.53,67.91,423
26.37,8.71,98.22,424
54.22,3.66,81.91,425
54.32,4.64,52.96,426
31.58,12.72,75.01,427
53.0,4.03,53.46,428
40.18,5.34,53.95,429
45.0,13.52,58.26,430
31.38,12.01,64.8,431
