pitch,l_tmrdl,w_tmrdl,h_tmrdl,dut_index
57.8,328.24,28.08,3.21,300
43.47,561.65,23.79,4.54,301
47.94,243.87,17.66,3.52,302
39.38,386.8,23.0,3.05,303
24.13,229.26,13.31,2.53,304
56.31,958.35,19.42,4.03,305
32.54,862.54,27.52,2.76,306
58.4,174.41,12.64,2.35,307
23.57,909.27,15.68,3.75,308
25.22,610.16,21.28,3.27,309
34.64,412.94,27.44,5.48,310
43.41,592.6,16.12,4.02,311
44.49,678.46,22.04,3.73,312
40.27,506.75,18.71,4.65,313
53.19,599.52,25.5,3.69,314
59.16,477.09,12.43,2.78,315
54.55,902.43,12.65,3.98,316
43.69,779.27,10.5,3.3,317
59.41,222.01,21.43,2.14,318
49.03,436.92,20.59,3.75,319
56.41,154.66,24.91,2.53,320
32.31,857.98,20.78,2.19,321
53.65,929.63,27.07,3.42,322
54.26,137.69,28.55,5.19,323
17.46,389.18,12.05,5.23,324
33.28,240.81,11.65,4.21,325
42.13,426.79,13.17,3.66,326
27.81,882.5,21.98,2.02,327
17.18,207.53,13.08,4.33,328
22.46,967.59,16.99,5.29,329
22.58,110.3,10.75,3.28,330
50.36,233.2,24.62,2.18,331
30.12,443.82,23.34,5.73,332
20.83,425.97,12.89,5.16,333
29.88,837.78,13.01,4.05,334
52.97,115.72,23.27,5.18,335
21.67,403.74,17.85,3.66,336
59.27,874.22,25.85,2.8,337
58.21,151.34,10.04,2.2,338
51.8,221.42,11.33,2.12,339
42.71,657.17,10.05,5.43,340
25.8,348.02,24.56,5.68,341
36.49,869.17,21.47,4.26,342
39.46,453.31,17.36,2.07,343
16.51,397.97,11.63,5.21,344
55.53,660.53,20.02,2.13,345
42.58,552.92,18.91,2.05,346
31.85,173.19,11.96,5.25,347
19.14,644.37,11.51,4.29,348
59.61,602.15,24.1,4.63,349
48.27,937.47,20.69,4.08,350
52.07,524.18,11.07,4.97,351
29.19,581.32,16.78,2.66,352
57.46,681.4,29.57,2.26,353
33.36,271.91,28.65,5.01,354
18.82,364.31,12.99,3.43,355
48.15,604.09,11.91,5.38,356
58.81,840.37,18.08,5.23,357
51.01,886.71,23.88,4.27,358
35.34,277.74,19.76,5.0,359
38.1,748.14,27.31,4.16,360
32.01,588.25,15.39,5.65,361
38.19,711.08,12.11,3.93,362
50.68,803.22,29.11,4.43,363
45.6,618.05,22.51,4.32,364
33.06,762.02,15.2,2.71,365
39.46,452.87,29.8,5.07,366
41.63,160.1,26.09,4.14,367
43.04,755.91,23.38,2.81,368
47.48,513.8,15.0,3.57,369
26.89,508.01,17.34,5.84,370
55.16,700.67,25.12,4.54,371
54.32,871.78,10.36,5.21,372
39.85,125.13,16.17,5.15,373
29.73,645.97,24.45,3.08,374
46.42,879.31,21.22,3.87,375
19.17,713.55,16.35,4.21,376
36.88,912.2,21.18,4.82,377
25.93,611.31,21.8,5.34,378
32.45,491.69,22.09,5.55,379
45.95,237.57,18.56,4.78,380
24.69,944.51,15.45,5.94,381
26.2,120.21,24.31,3.24,382
17.07,998.41,13.59,5.13,383
47.8,264.71,29.65,3.37,384
36.67,385.29,12.2,4.83,385
56.08,545.29,18.33,5.98,386
21.18,246.06,16.55,5.89,387
37.22,215.55,23.19,5.75,388
54.52,633.92,24.16,3.61,389
35.32,669.2,21.12,2.34,390
26.09,753.95,17.47,2.83,391
48.62,858.51,25.37,4.92,392
52.69,335.58,18.67,3.55,393
44.04,565.79,29.51,4.68,394
45.32,248.03,29.94,4.59,395
52.21,914.59,24.99,2.75,396
40.94,810.54,19.2,3.44,397
42.61,534.47,26.73,4.7,398
30.44,472.57,23.58,3.68,399
58.72,784.81,28.28,4.07,400
25.17,438.51,10.56,5.71,401
23.27,725.64,10.79,3.08,402
47.98,188.47,28.04,3.17,403
31.12,528.95,14.74,5.7,404
34.47,827.82,10.4,2.59,405
43.5,738.55,20.3,4.1,406
14.31,942.15,12.51,5.95,407
45.55,791.27,23.1,2.27,408
47.14,651.79,15.11,3.67,409
29.08,156.67,11.27,5.96,410
36.31,783.09,13.22,4.91,411
44.1,788.45,24.13,5.58,412
38.2,653.85,24.39,5.5,413
24.39,986.46,21.91,4.61,414
27.06,588.06,13.63,2.39,415
55.95,898.65,22.13,4.46,416
56.86,677.95,27.27,5.68,417
45.67,515.51,27.74,5.85,418
34.48,701.25,14.92,5.1,419
46.46,463.8,13.12,3.51,420
57.91,106.46,20.15,5.81,421
21.76,475.14,20.28,3.29,422
58.14,757.78,27.14,3.86,423
26.15,434.03,18.21,4.75,424
41.22,226.07,24.47,5.84,425
44.6,381.36,13.95,5.13,426
21.77,715.02,16.01,2.57,427
33.53,538.82,26.65,2.93,428
40.32,599.19,21.01,5.69,429
52.31,775.75,23.44,5.93,430
35.55,373.75,17.73,5.63,431
46.25,530.26,20.94,2.1,432
46.37,933.56,20.85,2.56,433
53.96,487.36,25.26,4.6,434
51.77,894.59,19.27,4.32,435
50.07,691.49,17.92,5.28,436
27.27,817.11,18.52,5.07,437
38.84,461.99,16.68,3.94,438
22.04,991.48,12.38,2.41,439
55.87,869.85,26.63,4.3,440
56.97,134.88,10.23,3.49,441
24.71,921.87,19.83,2.92,442
42.85,441.73,17.15,4.68,443
30.38,720.39,23.02,5.26,444
27.94,107.09,13.94,3.33,445
33.48,665.08,25.7,5.4,446
27.9,356.4,20.08,3.32,447
56.99,450.13,29.09,3.0,448
54.26,794.85,19.52,5.0,449
17.49,705.41,13.55,2.7,450
34.53,688.41,21.39,5.29,451
57.05,735.28,14.37,4.98,452
40.5,673.37,23.92,2.3,453
52.54,327.04,23.68,4.0,454
32.73,374.54,18.99,2.81,455
39.98,444.96,19.62,5.11,456
58.75,558.01,10.18,2.85,457
47.37,257.09,12.03,5.25,458
17.46,102.14,11.25,3.2,459
49.42,703.14,23.63,4.37,460
24.63,839.54,22.72,4.38,461
21.55,918.8,19.73,4.39,462
33.83,211.84,25.52,4.23,463
31.93,270.91,23.54,2.72,464
44.68,103.63,24.87,4.75,465
56.89,725.49,17.2,3.49,466
29.12,669.95,17.53,4.72,467
27.79,333.26,10.81,5.11,468
12.91,559.4,10.48,2.0,469
38.22,484.35,26.35,2.55,470
40.92,400.82,23.46,2.82,471
58.64,662.88,15.2,4.47,472
53.43,274.55,12.31,5.61,473
34.34,950.94,14.85,2.37,474
31.81,636.01,27.76,5.04,475
53.0,138.62,17.75,2.89,476
58.52,496.58,26.37,4.03,477
37.99,862.84,26.25,4.66,478
45.83,790.42,26.92,3.03,479
27.99,903.36,16.22,2.32,480
45.07,120.85,29.41,4.89,481
57.37,192.23,13.25,4.35,482
17.56,729.95,16.39,3.39,483
34.5,305.06,29.5,4.3,484
48.12,852.17,11.03,5.52,485
27.11,392.26,16.42,4.76,486
57.14,311.07,27.97,2.22,487
55.36,546.14,27.68,3.1,488
31.17,984.14,13.83,2.04,489
39.64,209.46,29.18,3.13,490
50.99,751.88,18.0,5.88,491
58.25,249.55,14.19,3.85,492
56.25,261.58,22.69,3.12,493
42.69,479.3,12.29,2.01,494
35.4,973.94,14.54,3.54,495
24.19,956.57,15.74,3.26,496
37.39,324.17,27.01,2.6,497
41.55,289.54,24.26,3.88,498
57.88,622.93,25.05,2.87,499
21.75,490.56,14.26,4.95,500
25.52,203.23,14.23,3.78,501
55.59,739.19,26.96,5.51,502
35.83,744.74,29.03,2.61,503
53.8,939.9,18.13,2.42,504
59.27,337.23,27.58,2.24,505
47.15,574.42,24.53,5.76,506
54.21,163.31,25.42,4.78,507
46.03,976.29,20.8,3.96,508
50.19,432.85,16.83,5.33,509
47.82,631.8,26.77,3.99,510
33.57,198.6,23.23,4.86,511
43.06,511.02,24.84,2.16,512
33.51,658.05,14.84,4.51,513
40.62,526.02,21.88,3.77,514
50.35,264.01,13.74,5.42,515
42.27,378.76,16.86,5.09,516
54.69,278.93,19.24,3.47,517
59.94,626.26,19.06,3.8,518
44.87,267.71,19.46,5.36,519
38.25,521.79,26.25,5.58,520
22.87,990.42,19.91,3.12,521
52.74,696.92,17.8,2.09,522
59.79,593.65,15.98,2.69,523
33.55,621.26,20.41,3.22,524
29.36,899.29,25.93,5.14,525
51.68,832.61,22.39,5.04,526
37.19,293.12,28.97,4.7,527
33.12,585.31,23.99,4.87,528
37.12,346.18,27.92,3.89,529
27.84,311.84,11.2,5.32,530
42.79,235.93,16.08,5.64,531
21.94,948.03,17.22,3.06,532
28.17,685.63,25.06,3.29,533
39.63,423.66,26.82,4.26,534
33.52,250.79,29.88,2.37,535
52.19,128.12,20.39,4.52,536
33.32,415.92,26.51,2.65,537
43.43,808.57,20.98,4.13,538
53.46,971.78,29.37,3.46,539
54.09,258.18,15.33,4.24,540
59.5,448.69,22.63,2.99,541
51.29,575.43,28.83,2.42,542
41.82,993.51,29.75,5.39,543
55.16,365.92,15.1,2.67,544
46.64,394.69,25.2,3.1,545
40.29,890.85,13.4,3.15,546
42.56,799.21,25.63,5.46,547
39.25,405.81,24.01,3.81,548
57.11,185.18,21.32,5.52,549
34.61,962.28,22.82,2.94,550
47.4,498.68,20.74,5.82,551
56.53,168.85,18.17,4.97,552
36.9,283.39,23.1,2.5,553
13.9,935.11,10.11,5.96,554
33.17,845.35,14.56,4.94,555
50.46,764.83,28.2,5.91,556
36.87,722.18,13.78,4.0,557
18.82,358.07,14.44,3.95,558
37.14,747.49,19.31,2.3,559
34.96,926.77,26.15,5.19,560
54.84,231.73,18.26,4.25,561
47.13,548.33,29.96,2.47,562
54.68,781.63,25.24,3.23,563
43.7,820.74,15.82,5.3,564
30.47,296.42,17.63,5.54,565
52.07,797.07,25.89,4.12,566
46.94,581.51,27.47,3.83,567
42.96,195.37,16.94,4.48,568
50.05,178.26,29.25,3.34,569
53.34,883.71,27.18,3.16,570
42.67,372.01,21.7,3.74,571
35.51,894.2,28.4,3.91,572
43.83,996.24,26.1,3.33,573
59.73,760.01,28.74,2.35,574
32.77,300.19,11.12,3.0,575
32.54,614.4,27.89,5.74,576
49.54,542.84,26.42,2.74,577
25.32,742.96,14.48,2.86,578
35.19,774.42,12.49,3.79,579
31.21,287.21,20.63,2.05,580
24.31,931.29,11.75,2.95,581
38.26,626.78,11.89,3.62,582
49.26,421.74,15.6,4.41,583
39.1,343.12,28.23,2.94,584
33.55,555.93,13.9,4.15,585
40.97,486.02,25.34,4.52,586
24.55,978.95,22.16,4.49,587
48.1,459.56,15.51,4.61,588
46.06,350.18,18.43,2.44,589
26.72,430.25,25.66,3.46,590
52.18,966.24,26.88,3.03,591
56.52,199.42,19.96,2.87,592
39.8,214.55,16.3,2.32,593
31.37,141.55,29.33,5.48,594
53.87,314.94,12.25,2.54,595
46.89,563.8,17.06,3.7,596
58.46,182.17,28.95,2.44,597
39.53,843.25,10.6,5.77,598
58.52,733.81,24.8,4.58,599
28.94,129.69,14.61,4.92,600
48.14,830.26,14.02,5.99,601
26.31,132.44,14.32,3.59,602
31.75,923.67,22.93,2.29,603
29.37,502.5,22.79,5.46,604
30.65,811.98,11.47,2.63,605
50.77,418.25,25.77,4.94,606
45.41,353.8,28.6,4.08,607
46.87,317.46,11.44,3.17,608
47.36,851.47,17.42,4.84,609
17.93,494.02,15.57,5.56,610
37.59,866.47,28.33,5.02,611
33.23,406.06,10.34,2.46,612
44.0,468.56,18.86,2.18,613
49.79,307.95,26.59,3.56,614
37.99,629.47,18.78,4.41,615
55.36,825.8,20.48,2.12,616
56.66,369.5,10.89,5.59,617
44.57,889.03,16.62,2.78,618
12.41,339.78,10.98,2.89,619
52.08,718.27,10.67,4.81,620
35.49,394.82,19.68,5.86,621
27.81,532.89,17.04,2.7,622
52.3,617.4,26.5,2.62,623
38.88,303.38,15.49,4.05,624
26.06,148.91,22.9,5.81,625
29.59,225.84,22.57,2.75,626
50.99,362.57,18.84,3.53,627
57.64,906.22,28.48,5.66,628
46.67,169.78,21.08,5.62,629
40.59,123.04,29.66,4.45,630
38.56,331.66,22.3,3.04,631
30.39,551.78,16.51,3.59,632
26.33,981.0,19.58,5.05,633
49.51,988.41,20.23,2.39,634
25.38,321.24,23.7,4.56,635
57.95,767.35,17.58,5.72,636
39.54,707.57,29.27,4.85,637
31.96,284.88,16.45,2.08,638
39.16,193.52,11.36,4.42,639
33.1,572.36,17.29,2.97,640
33.83,855.1,22.43,2.52,641
43.32,152.17,22.21,5.8,642
55.36,408.38,21.63,2.97,643
47.44,504.48,20.18,2.15,644
28.39,568.13,21.53,3.19,645
50.06,280.96,19.86,3.54,646
38.92,253.69,29.72,5.62,647
22.29,692.05,18.39,3.83,648
14.41,341.74,10.91,2.07,649
22.51,768.3,16.73,4.39,650
54.45,294.16,28.77,5.78,651
41.51,142.9,14.07,2.23,652
43.48,675.61,22.45,3.02,653
35.6,112.96,11.55,4.63,654
59.66,470.92,12.78,5.53,655
51.82,186.85,27.61,4.1,656
46.99,607.01,19.0,2.61,657
52.57,162.24,19.11,3.65,658
31.52,824.02,17.96,4.88,659
25.7,180.01,18.65,4.49,660
33.64,411.95,26.0,5.91,661
53.2,166.71,23.85,5.88,662
39.57,731.39,21.76,3.63,663
28.52,595.5,22.31,2.9,664
43.27,969.63,27.36,4.56,665
47.36,518.51,24.69,4.71,666
37.16,204.93,11.71,5.98,667
52.89,115.85,15.0,3.87,668
34.08,518.0,12.84,2.51,669
24.23,684.71,21.58,3.77,670
47.07,913.99,21.68,2.27,671
45.16,877.9,12.56,3.39,672
33.3,953.27,28.14,4.8,673
40.44,650.32,13.47,3.93,674
32.71,646.96,12.72,3.9,675
18.76,465.08,15.78,3.41,676
40.77,379.06,27.23,5.39,677
33.44,537.74,28.86,4.67,678
50.85,805.37,19.36,3.72,679
40.11,835.19,25.59,2.22,680
20.82,920.03,14.12,3.41,681
56.35,360.28,14.7,5.31,682
44.58,145.91,18.47,5.36,683
51.66,847.87,15.25,5.44,684
42.71,301.39,28.67,4.73,685
34.61,814.38,24.72,3.35,686
13.43,818.4,11.81,4.18,687
32.86,959.67,14.76,2.48,688
55.24,320.23,27.8,3.38,689
40.74,481.71,15.88,2.46,690
49.03,456.41,25.99,3.63,691
32.42,640.72,13.66,2.66,692
51.02,217.09,24.24,3.23,693
26.23,770.51,12.91,4.17,694
29.69,695.08,20.5,4.82,695
50.81,800.76,28.4,4.35,696
25.46,639.28,10.26,5.43,697
18.99,577.1,13.38,4.15,698
48.59,949.02,15.93,4.2,699
