split,design,idx,status,file
train,TMRDL,100,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut100.s2p
train,TMRDL,101,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut101.s2p
train,TMRDL,102,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut102.s2p
train,TMRDL,103,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut103.s2p
train,TMRDL,104,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut104.s2p
train,TMRDL,105,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut105.s2p
train,TMRDL,106,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut106.s2p
train,TMRDL,107,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut107.s2p
train,TMRDL,108,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut108.s2p
train,TMRDL,109,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut109.s2p
train,TMRDL,110,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut110.s2p
train,TMRDL,111,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut111.s2p
train,TMRDL,112,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut112.s2p
train,TMRDL,113,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut113.s2p
train,TMRDL,114,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut114.s2p
train,TMRDL,115,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut115.s2p
train,TMRDL,116,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut116.s2p
train,TMRDL,117,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut117.s2p
train,TMRDL,118,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut118.s2p
train,TMRDL,119,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut119.s2p
train,TMRDL,120,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut120.s2p
train,TMRDL,121,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut121.s2p
train,TMRDL,122,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut122.s2p
train,TMRDL,123,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut123.s2p
train,TMRDL,124,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut124.s2p
train,TMRDL,125,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut125.s2p
train,TMRDL,126,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut126.s2p
train,TMRDL,127,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut127.s2p
train,TMRDL,128,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut128.s2p
train,TMRDL,129,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut129.s2p
train,TMRDL,130,skipped,C:\ffzhzh\SyncFiles\Temp\HFSS_sim\LHS200\train\TMRDL\dut130.s2p
