pitch,l_tmrdl,w_tmrdl,h_tmrdl,dut_index
32.44,160.83,10.01,5.72,100
56.12,959.22,28.92,2.25,101
59.8,912.02,10.26,2.42,102
59.87,972.23,10.47,5.02,103
58.37,120.7,29.01,5.92,104
12.65,720.63,10.52,2.46,105
22.67,228.7,15.88,2.01,106
59.18,178.77,11.81,2.01,107
12.91,305.95,10.56,5.53,108
14.39,919.67,12.32,5.86,109
59.59,674.93,29.73,5.74,110
17.61,620.47,10.33,5.96,111
57.53,213.44,29.78,4.23,112
12.37,200.59,10.09,2.5,113
39.4,288.44,10.33,2.14,114
17.36,925.15,15.64,2.02,115
58.98,507.2,17.56,5.96,116
32.01,116.55,11.14,4.37,117
19.25,102.49,15.57,5.64,118
51.31,338.12,12.11,5.99,119
26.79,473.42,24.73,2.03,120
59.32,522.07,29.54,2.81,121
59.43,975.36,29.47,5.14,122
54.06,937.55,10.93,3.63,123
58.71,136.07,20.36,3.13,124
21.31,502.95,19.72,3.75,125
54.88,137.95,21.43,5.91,126
22.63,452.24,11.19,2.17,127
32.27,605.8,29.84,5.93,128
34.65,101.12,17.89,3.84,129
39.2,978.22,21.69,2.15,130
59.93,810.28,14.37,5.99,131
49.55,574.25,21.46,3.69,132
26.49,601.36,24.93,5.42,133
35.09,433.03,12.32,5.93,134
44.65,120.16,29.09,4.88,135
58.75,963.62,23.49,2.78,136
57.66,314.91,19.96,3.97,137
34.13,990.2,15.27,4.1,138
52.83,654.75,10.36,3.5,139
59.16,432.34,15.66,4.94,140
15.6,991.68,13.72,3.94,141
30.01,526.84,17.01,4.82,142
50.06,870.72,14.45,4.74,143
35.41,457.87,29.3,2.56,144
17.9,747.07,15.71,2.95,145
59.31,987.06,15.42,2.14,146
52.29,690.9,25.88,2.95,147
18.04,997.85,10.02,2.28,148
22.94,927.89,20.95,2.43,149
32.49,172.45,29.75,3.58,150
18.54,393.68,11.7,4.48,151
26.8,973.54,23.26,4.39,152
34.96,605.71,29.81,4.82,153
32.71,124.13,29.49,5.62,154
37.94,143.87,14.65,2.02,155
19.46,707.19,16.09,5.97,156
44.31,135.74,25.36,2.03,157
35.75,104.62,16.16,5.58,158
35.05,980.3,11.06,5.28,159
30.28,758.39,11.62,5.95,160
57.07,103.41,19.9,4.83,161
58.52,413.44,11.11,3.89,162
16.62,103.69,10.13,4.57,163
59.85,115.01,16.63,2.38,164
58.16,104.2,26.87,3.14,165
40.78,333.67,10.04,5.18,166
57.93,181.61,15.73,5.94,167
58.99,324.14,25.6,5.99,168
47.52,841.62,13.84,2.41,169
48.59,392.14,29.09,3.79,170
25.53,754.63,13.39,2.14,171
43.6,105.84,11.87,5.15,172
25.11,464.15,21.89,4.64,173
41.23,786.87,11.3,3.81,174
16.7,259.39,14.7,2.93,175
50.73,975.79,18.9,2.87,176
35.8,291.96,29.83,4.56,177
25.17,123.12,10.66,2.06,178
21.87,756.96,17.83,3.92,179
58.41,561.52,15.04,3.74,180
27.8,100.92,18.1,2.7,181
59.16,937.0,21.06,3.84,182
36.46,414.3,20.04,3.39,183
37.61,879.39,24.23,5.89,184
51.41,747.22,27.6,4.96,185
45.11,808.14,19.78,4.0,186
30.8,249.68,13.72,5.0,187
47.66,980.08,29.51,3.48,188
55.77,974.1,16.78,5.58,189
22.44,938.75,14.7,5.06,190
30.87,294.13,26.76,2.91,191
42.13,722.0,17.68,5.28,192
58.93,199.83,29.45,2.06,193
59.38,724.14,29.21,2.39,194
39.54,433.9,14.24,2.02,195
58.46,729.64,10.44,4.91,196
58.81,294.76,25.68,3.82,197
45.97,888.71,25.64,2.48,198
43.62,127.03,26.47,3.4,199
42.4,912.95,29.78,2.02,200
40.98,381.57,24.37,3.94,201
41.22,645.55,25.95,5.84,202
43.23,531.86,19.64,2.34,203
59.69,656.55,20.69,3.1,204
22.26,283.49,20.94,5.88,205
24.74,356.33,19.8,2.28,206
50.35,339.44,18.72,5.94,207
45.58,245.54,20.4,3.36,208
35.27,456.75,26.32,4.73,209
59.99,996.64,26.27,3.84,210
41.43,997.59,12.3,3.36,211
58.17,540.09,26.59,3.7,212
59.88,480.4,25.58,2.23,213
40.88,583.8,19.78,4.51,214
35.76,987.91,16.5,5.22,215
15.8,546.66,14.37,2.76,216
33.88,626.95,15.08,5.75,217
50.18,930.36,10.21,5.97,218
40.66,988.73,11.24,2.14,219
57.85,668.62,15.02,5.26,220
58.98,169.98,13.56,4.53,221
54.67,369.45,11.06,4.96,222
26.18,795.34,23.29,3.54,223
54.58,277.2,29.08,5.1,224
50.54,167.78,21.02,2.11,225
43.63,672.91,29.55,2.85,226
26.54,397.3,16.21,3.98,227
43.14,162.78,14.19,4.0,228
28.17,454.14,23.74,3.41,229
32.96,638.7,10.27,4.12,230
33.43,294.95,10.21,3.92,231
48.59,948.32,10.09,4.48,232
41.08,109.85,17.77,2.99,233
29.91,855.8,27.97,4.47,234
39.96,643.27,24.44,2.71,235
15.55,494.96,14.19,5.38,236
58.84,872.11,28.17,5.9,237
27.3,654.56,20.75,5.11,238
53.65,406.3,10.29,2.09,239
43.96,609.63,25.05,4.15,240
24.99,680.16,11.71,3.28,241
58.98,485.14,20.99,5.33,242
31.41,141.07,23.37,2.01,243
35.28,991.76,29.95,3.87,244
31.14,299.61,26.43,5.99,245
52.24,677.17,14.98,3.1,246
26.12,418.21,16.84,2.93,247
33.91,667.2,29.58,2.08,248
59.04,322.86,10.34,2.99,249
48.65,110.5,25.41,5.84,250
58.02,730.04,10.25,5.96,251
43.15,829.07,22.29,3.16,252
39.9,482.75,14.38,5.09,253
59.49,863.7,18.87,4.56,254
37.36,206.75,19.42,2.02,255
11.88,103.98,10.81,3.28,256
45.27,122.32,29.96,3.96,257
24.99,961.26,22.7,5.7,258
31.81,270.13,18.0,5.25,259
28.48,490.02,20.0,5.68,260
39.82,733.39,10.89,2.1,261
25.11,298.11,12.5,5.96,262
24.2,121.88,22.24,4.26,263
56.59,316.16,29.62,3.04,264
59.67,494.4,22.2,4.23,265
53.57,705.17,18.44,5.76,266
21.79,748.08,20.03,2.09,267
55.27,657.21,23.89,2.07,268
17.88,414.75,15.61,2.03,269
28.59,325.97,11.42,2.72,270
21.4,803.15,10.79,5.31,271
59.43,693.26,21.07,3.96,272
18.47,567.76,16.75,4.44,273
21.25,942.77,18.68,4.16,274
46.78,107.86,17.91,4.46,275
53.02,721.09,11.1,2.21,276
38.57,677.38,16.19,2.0,277
29.77,775.62,26.83,5.96,278
56.34,896.79,27.43,3.14,279
48.58,123.88,13.55,2.89,280
46.75,724.24,29.46,5.83,281
25.19,328.55,20.43,4.0,282
28.14,823.1,17.86,2.61,283
37.71,671.57,21.64,3.49,284
21.86,139.76,19.65,5.11,285
39.42,419.32,16.64,5.93,286
19.56,116.87,18.55,3.86,287
57.7,935.79,21.84,5.88,288
42.54,782.36,15.74,4.22,289
54.25,956.95,20.31,2.01,290
59.35,327.64,14.55,2.04,291
24.54,256.08,17.13,3.42,292
39.94,851.71,14.65,3.08,293
54.7,360.66,17.53,3.22,294
43.35,627.23,10.28,2.86,295
51.87,498.87,29.72,2.05,296
59.71,724.72,15.33,4.4,297
33.53,540.78,10.25,2.09,298
23.34,106.56,11.05,3.65,299
