pitch,r_tsv,h_tsv,l_tmrdl,w_tmrdl,h_tmrdl,l_bsmrdl,w_bsmrdl,h_bsmrdl,dut_index
32.61,12.34,54.24,222.65,28.48,2.57,956.08,10.02,2.17,100
58.43,13.99,92.51,937.74,11.3,5.96,218.73,13.21,2.27,101
17.84,3.03,65.36,982.06,15.59,5.84,164.65,10.78,4.46,102
52.87,2.7,89.23,126.71,29.76,4.69,704.51,28.29,3.23,103
46.27,14.49,69.48,157.44,29.8,5.73,980.11,11.0,2.32,104
26.74,12.25,52.92,423.61,24.4,2.02,884.13,13.48,5.81,105
54.86,6.09,96.09,981.85,26.86,2.32,141.81,27.66,2.65,106
32.08,3.79,75.25,643.1,10.65,2.05,887.9,10.87,5.56,107
56.23,7.75,59.42,843.49,14.27,5.86,961.41,23.63,5.5,108
56.4,3.56,99.59,680.1,11.79,5.71,631.66,29.31,5.9,109
30.4,3.57,73.38,348.02,10.02,2.35,866.3,27.06,5.68,110
57.59,13.53,86.45,949.68,10.27,2.5,200.94,13.41,2.36,111
30.83,14.0,86.4,709.73,29.26,5.47,786.58,25.46,2.09,112
33.37,14.47,92.92,197.61,29.44,2.45,234.25,26.33,2.11,113
57.35,13.95,53.67,994.68,14.73,4.33,118.32,29.88,5.93,114
58.28,2.7,89.37,983.83,25.71,2.0,685.5,14.85,3.37,115
56.78,14.01,99.97,186.1,11.49,2.97,266.93,28.61,5.41,116
35.31,14.37,67.8,134.17,29.77,2.46,894.6,29.45,2.23,117
58.78,14.42,62.19,907.19,28.64,5.18,682.75,11.51,3.1,118
45.77,2.19,50.59,238.51,16.27,5.04,521.35,28.23,5.47,119
36.0,14.46,69.5,231.5,10.66,2.12,192.52,23.55,4.12,120
33.37,2.69,58.69,139.04,29.08,2.05,913.52,10.5,5.14,121
47.97,12.54,98.96,820.07,10.14,2.85,143.88,29.99,2.22,122
56.3,2.66,50.21,318.47,28.03,3.18,991.29,23.56,2.35,123
50.93,2.92,97.41,192.28,17.1,5.63,741.3,19.25,2.4,124
