pitch,r_tsv,h_tsv,dut_index
49.76,2.01,99.44,100
13.7,5.34,50.51,101
5.87,2.13,64.33,102
5.78,2.19,78.54,103
58.84,5.53,53.9,104
31.51,3.88,99.32,105
58.92,14.91,50.19,106
59.45,2.27,60.89,107
6.53,2.29,52.47,108
16.99,2.02,70.55,109
33.27,2.03,72.1,110
57.89,9.73,98.56,111
59.32,2.98,93.26,112
36.83,6.99,82.38,113
42.26,5.26,99.79,114
17.53,7.49,99.82,115
43.34,5.75,52.18,116
31.53,14.07,82.89,117
58.68,8.78,66.82,118
23.63,2.19,91.91,119
32.4,10.13,50.94,120
43.4,2.38,59.59,121
25.25,11.56,57.28,122
30.63,9.56,99.56,123
9.96,4.13,58.39,124
40.44,14.75,99.9,125
59.57,4.1,72.22,126
25.18,10.61,85.71,127
46.29,7.42,63.72,128
7.25,2.01,87.81,129
38.9,8.07,70.9,130
48.56,14.81,57.06,131
29.27,8.51,89.03,132
18.55,8.04,50.04,133
58.8,11.43,66.34,134
43.88,2.04,75.01,135
57.77,12.62,50.1,136
30.57,5.46,73.4,137
22.11,5.48,97.94,138
52.29,10.46,89.89,139
30.49,4.49,90.9,140
17.93,8.23,84.85,141
48.39,4.07,93.84,142
28.81,12.93,63.43,143
54.59,7.5,58.58,144
17.22,5.79,58.38,145
36.09,3.7,77.2,146
51.68,4.32,57.75,147
36.1,9.18,81.87,148
53.66,14.67,65.43,149
34.51,11.42,83.32,150
29.36,13.92,71.92,151
46.53,7.59,80.16,152
59.42,3.15,51.12,153
18.03,2.27,85.13,154
35.62,11.22,58.76,155
51.12,8.25,99.74,156
59.63,2.1,69.7,157
51.71,5.25,73.94,158
48.02,13.03,61.3,159
39.77,5.6,91.73,160
13.53,6.24,83.61,161
22.9,9.97,50.36,162
41.01,2.01,50.72,163
8.4,2.99,71.22,164
41.0,2.79,98.78,165
59.35,7.98,93.59,166
41.27,7.26,99.59,167
30.24,14.32,57.46,168
36.42,5.17,56.68,169
22.39,4.97,52.64,170
43.28,12.71,78.7,171
21.84,5.16,71.1,172
56.69,12.13,88.22,173
51.52,9.23,79.4,174
24.41,10.98,98.74,175
12.72,5.45,98.72,176
59.44,5.27,88.7,177
34.4,14.99,89.86,178
16.68,3.5,50.28,179
29.22,2.0,98.76,180
59.81,4.03,64.74,181
59.77,8.17,80.92,182
30.3,5.62,80.84,183
35.98,14.96,77.33,184
15.32,3.32,63.41,185
49.14,9.41,65.42,186
32.49,4.06,68.44,187
25.79,8.23,96.13,188
14.31,2.52,77.27,189
12.44,5.44,76.24,190
26.74,12.76,86.4,191
59.49,7.87,52.7,192
31.54,7.29,75.15,193
25.37,12.0,50.2,194
46.89,2.69,87.01,195
57.23,12.79,79.26,196
43.34,3.75,54.53,197
31.33,8.28,67.54,198
20.99,7.07,92.17,199
36.81,9.7,73.9,200
49.42,10.5,96.64,201
48.6,14.2,99.91,202
22.15,10.49,64.54,203
33.35,11.9,99.47,204
51.71,2.45,57.31,205
44.41,2.32,67.53,206
51.49,6.12,88.56,207
